#      HRS         e              PA       FUV_asy       eFUV_asy     FUV_D25       eFUV_D25     NUV_asy       eNUV_asy     NUV_D25       eNUV_D25     g_asy         eg_asy       g_D25         eg_D25       r_asy         er_asy       r_D25         er_D25       i_asy         ei_asy       i_D25         ei_D25         log(M*)
        26         0.71           14       17.616        0.100        17.659        0.086        17.243        0.030        17.292        0.032        14.631        0.031        14.712        0.033        14.066        0.020        14.160        0.024        13.755        0.032        13.871        0.034           8.94   
        27         0.12           24       15.394        0.062        15.501        0.059        15.060        0.030        15.147        0.035        13.564        0.032        13.631        0.035        13.218        0.020        13.273        0.027        13.043        0.031        13.128        0.036           8.94   
        28         0.50           46       15.529        0.057        15.605        0.054        15.146        0.030        15.190        0.031        13.163        0.030        13.215        0.031        12.674        0.020        12.733        0.022        12.441        0.030        12.511        0.032           9.16   
        29         0.80          -65       17.047        0.058        17.224        0.052        16.500        0.030        16.641        0.032        13.656        0.032        13.867        0.033        13.066        0.020        13.258        0.023        12.745        0.031        12.940        0.032           9.06   
        30         0.50           62       15.190        0.050        15.347        0.051        14.742        0.030        14.880        0.032        12.931        0.032        13.047        0.032        12.555        0.021        12.664        0.022        12.359        0.032        12.472        0.033           8.87   
        31         0.65           66       14.525        0.050        14.548        0.052        14.066        0.030        14.080        0.030        12.148        0.031        12.160        0.032        11.773        0.021        11.804        0.022        11.657        0.034        11.660        0.048           9.27   
        32         0.05            5       19.889        0.081        19.978        0.088        17.611        0.031        17.777        0.038        13.062        0.031        13.155        0.034        12.462        0.020        12.559        0.026        12.069        0.031        12.185        0.034           9.46   
        33         0.05           25       14.841        0.050        15.075        0.052        14.504        0.030        14.677        0.032        12.348        0.032        12.497        0.032        11.844        0.021        11.970        0.022        11.579        0.034        11.686        0.032           9.62   
        34         0.80           29       16.557        0.056        16.615        0.064        15.687        0.046        15.880        0.032        12.990        0.030        13.032        0.031        12.336        0.020        12.372        0.021        11.921        0.030        11.957        0.031           9.58   
        35         0.14            4        ...          ...           ...          ...          ...           ...           ...          ...          13.848        0.044        13.901        0.037        13.078        0.022        13.133        0.024        12.651        0.031        12.710        0.034           9.69   
        36         0.05           61       14.478        0.051        14.511        0.052        13.889        0.030        13.913        0.030        11.480        0.030        11.531        0.031        10.880        0.020        10.937        0.021        10.556        0.031        10.622        0.031          10.24   
        37         0.12          -36       15.137        0.060        15.197        0.055        14.801        0.030        14.836        0.031        12.798        0.030        12.835        0.031        12.245        0.020        12.279        0.022        11.935        0.031        11.973        0.032           9.53   
        38         0.76           54        ...          ...           ...          ...          ...           ...           ...          ...          13.486        0.030        13.654        0.033        13.024        0.020        13.226        0.024        12.745        0.032        13.000        0.034           9.10   
        39         0.66            2       16.937        0.068        17.088        0.073        16.589        0.030        16.678        0.032        14.230        0.034        14.307        0.033        13.674        0.022        13.737        0.022        13.367        0.031        13.428        0.031           9.08   
        40         0.48            9       15.465        0.050        15.482        0.051        14.996        0.030        15.017        0.030        13.083        0.030        13.109        0.031        12.691        0.020        12.720        0.021        12.476        0.030        12.524        0.031           9.18   
        41         0.76          -62       17.912        0.050        17.998        0.053        17.283        0.031        17.435        0.034        14.119        0.031        14.329        0.036        13.447        0.020        13.679        0.027        13.061        0.038        13.326        0.038           9.25   
        42         0.12          -44        ...          ...           ...          ...          13.621        0.030        13.702        0.031        11.628        0.030        11.671        0.031        11.151        0.020        11.185        0.022        10.837        0.036        10.888        0.048           9.77   
        43         0.19           75       17.849        0.063        17.907        0.084        16.393        0.159        16.509        0.060        11.341        0.052        11.578        0.034        10.554        0.033        10.873        0.022        10.239        0.054        10.493        0.038          10.27   
        44         0.05           57       15.584        0.079        15.681        0.058        15.136        0.030        15.230        0.032        13.408        0.032        13.612        0.038        13.025        0.021        13.256        0.033        12.835        0.032        13.147        0.044           8.70   
        45         0.13           43       16.976        0.053        17.079        0.056        16.198        0.036        16.356        0.041        11.945        0.032        12.213        0.032        11.258        0.022        11.522        0.023        10.897        0.034        11.141        0.034          10.25   
        46         0.32          -19        ...          ...           ...          ...          15.631        0.030        15.693        0.031        11.632        0.030        11.729        0.031        11.004        0.020        11.106        0.021        10.624        0.030        10.718        0.031          10.28   
        47         0.23           30       14.771        0.051        14.797        0.052        14.470        0.030        14.484        0.030        12.863        0.030        12.882        0.031        12.536        0.020        12.562        0.022        12.334        0.031        12.367        0.034           9.11   
        48         0.10          -50       13.166        0.050        13.241        0.051        12.869        0.030        12.892        0.030        10.845        0.030        10.890        0.031        10.410        0.020        10.457        0.021        10.158        0.031        10.205        0.032           9.92   
        49         0.13           75       18.163        0.105        18.190        0.299        15.962        0.041        16.103        0.046        10.997        0.031        11.160        0.031        10.228        0.038        10.356        0.037         9.753        0.037         9.888        0.037          10.70   
        50         0.34           30       15.391        0.055        15.530        0.056        14.750        0.030        14.833        0.031        12.161        0.030        12.313        0.032        11.556        0.020        11.697        0.022        11.291        0.031        11.455        0.032           9.87   
        51         0.40           56        ...          ...           ...          ...          14.838        0.031        14.970        0.031        12.956        0.034        13.029        0.034        12.459        0.021        12.558        0.022        12.244        0.030        12.333        0.031           9.21   
        52         0.15          -20       15.222        0.055        16.079        0.063        15.171        0.034        15.852        0.037        13.005        0.040        13.371        0.032        12.558        0.023        12.808        0.022        12.302        0.034        12.481        0.031           9.11   
        53         0.70          -80       15.145        0.050        15.191        0.052        14.682        0.030        14.711        0.030        12.400        0.031        12.435        0.032        11.828        0.020        11.869        0.024        11.513        0.031        11.548        0.034           9.49   
        54         0.05           10       15.106        0.240        15.415        0.057        14.780        0.031        15.073        0.033        12.156        0.031        12.267        0.031        11.515        0.023        11.631        0.022        11.178        0.048        11.289        0.045           9.87   
        55         0.27          -59       14.599        0.057        14.822        0.055        14.208        0.030        14.356        0.032        12.125        0.031        12.220        0.031        11.652        0.021        11.737        0.022         ...          ...           ...          ...             ...    
        56         0.50          -53       16.597        0.062        16.908        0.062        15.940        0.030        16.140        0.033        12.602        0.031        12.783        0.031        11.869        0.020        11.998        0.021        11.464        0.030        11.596        0.031          10.20   
        57         0.23           19       14.378        0.051        14.392        0.052        13.912        0.030        13.933        0.030        11.619        0.030        11.660        0.032        11.086        0.020        11.129        0.021        10.787        0.030        10.829        0.031           9.81   
        58         0.26           28       15.523        0.065        15.583        0.056        15.151        0.030        15.197        0.031        13.178        0.030        13.275        0.033        12.811        0.034        12.875        0.047        12.472        0.031        12.597        0.035           8.94   
        59         0.78          -87       16.121        0.052        16.178        0.058        15.556        0.030        15.627        0.031        12.777        0.030        12.824        0.030        12.106        0.020        12.148        0.021        11.751        0.030        11.792        0.031           9.96   
        60         0.30           -6       15.580        0.050        15.624        0.051        14.971        0.030        15.013        0.031        11.876        0.030        11.940        0.031        11.224        0.020        11.288        0.021        10.845        0.030        10.917        0.032           9.93   
        61         0.68           -9       15.885        0.071        15.983        0.059        15.536        0.038        15.606        0.036        13.934        0.031        13.974        0.032        13.573        0.027        13.621        0.024        13.379        0.045        13.433        0.037           8.54   
        62         0.65          -55       14.775        0.051        15.001        0.055        14.483        0.030        14.677        0.033        12.935        0.030        13.071        0.032        12.611        0.022        12.721        0.024        12.408        0.030        12.515        0.032           9.11   
        63         0.50            3       14.879        0.050        14.930        0.051        14.399        0.030        14.446        0.031        11.781        0.030        11.824        0.032        11.213        0.020        11.246        0.022        10.888        0.030        10.924        0.030           9.94   
        64         0.68           54        ...          ...           ...          ...          16.188        0.030        16.266        0.031        13.620        0.032        13.686        0.032        13.082        0.021        13.152        0.022        12.787        0.030        12.853        0.031           9.06   
        65         0.45          -65       15.056        0.052        15.291        0.057        14.798        0.030        14.980        0.034        13.185        0.031        13.353        0.033        12.813        0.022        12.964        0.024        12.566        0.037        12.731        0.038           9.04   
        66         0.55           87       14.781        0.062        14.906        0.054        14.250        0.030        14.352        0.031        12.000        0.030        12.097        0.030        11.502        0.020        11.596        0.021        11.235        0.030        11.329        0.031           9.77   
        67         0.36           40       15.558        0.051        15.644        0.054        15.230        0.030        15.328        0.032        13.352        0.032        13.559        0.036        12.994        0.022        13.227        0.028        12.744        0.037        13.034        0.042           8.99   
        68         0.05            0       17.918        0.267        18.043        0.108        17.395        0.032        17.613        0.063        14.696        0.034        14.971        0.089        14.034        0.021        14.339        0.093        13.741        0.030        14.045        0.101           8.93   
        69         0.41          -70       15.144        0.054        15.531        0.054        14.791        0.035        15.085        0.033        11.131        0.032        11.265        0.032        10.396        0.023        10.520        0.022         9.985        0.033        10.104        0.032          10.47   
        70         0.36          -80       15.308        0.052        15.377        0.056        14.971        0.030        15.047        0.034        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
        71         0.42          -18        ...          ...           ...          ...          16.020        0.037        16.090        0.044        11.118        0.047        11.226        0.057        10.390        0.021        10.469        0.022         9.957        0.030        10.035        0.031          10.55   
        72         0.48           80       15.299        0.059        15.368        0.054        14.882        0.030        14.959        0.031        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
        73         0.51           14        ...          ...           ...          ...          ...           ...           ...          ...          10.650        0.031        10.673        0.032         9.884        0.020         9.915        0.020         9.477        0.030         9.507        0.031          10.60   
        74         0.17           20        ...          ...           ...          ...          13.776        0.030        13.819        0.030        11.843        0.031        11.879        0.031        11.380        0.020        11.412        0.021        11.131        0.030        11.165        0.030           9.52   
        75         0.67           87        ...          ...           ...          ...          18.190        0.031        18.262        0.038        14.751        0.032        14.901        0.035        14.072        0.020        14.231        0.026        13.681        0.032        13.846        0.034           9.00   
        76         0.60           -7        ...          ...           ...          ...          ...           ...           ...          ...          13.442        0.061        13.722        0.033        13.069        0.054        13.332        0.024        12.815        0.121        13.114        0.036           8.72   
        77         0.23           31       13.950        0.050        13.985        0.050        13.250        0.030        13.267        0.030        10.767        0.030        10.804        0.030        10.155        0.020        10.196        0.020         9.800        0.030         9.850        0.030          10.54   
        78         0.16           -2       15.006        0.069        15.084        0.054        14.686        0.030        14.744        0.031        12.784        0.031        12.862        0.031        12.351        0.020        12.437        0.022        12.103        0.032        12.203        0.032           9.20   
        79         0.80          -36       15.692        0.052        15.749        0.057        15.364        0.032        15.441        0.034        13.826        0.031        13.871        0.031        13.509        0.020        13.558        0.021        13.363        0.032        13.423        0.034           8.62   
        80         0.12          -19       15.659        0.052        15.709        0.057        15.179        0.033        15.243        0.034        12.513        0.034        12.786        0.035        11.968        0.023        12.242        0.026        11.656        0.034        11.959        0.036           9.51   
        81         0.36          -90       16.257        0.051        16.337        0.052        15.549        0.031        15.607        0.031        12.271        0.031        12.359        0.032        11.580        0.020        11.660        0.021        11.184        0.032        11.253        0.032           9.94   
        82         0.35          -78       16.807        0.065        16.937        0.074        16.299        0.031        16.409        0.045        14.114        0.030        14.339        0.068        13.624        0.020        13.842        0.063        13.379        0.030        13.620        0.070           8.69   
        83         0.66          -33       16.642        0.050        16.727        0.051        16.199        0.030        16.323        0.032        14.173        0.030        14.363        0.036        13.766        0.021        13.981        0.030        13.559        0.031        13.767        0.040           8.53   
        84         0.22           40       16.126        0.050        16.177        0.051        15.699        0.030        15.776        0.032        13.153        0.030        13.198        0.032        12.497        0.020        12.549        0.022        12.204        0.030        12.264        0.032           9.39   
        85         0.67          -13       14.712        0.051        14.819        0.053        14.235        0.030        14.292        0.030        11.455        0.030        11.496        0.031        10.809        0.020        10.840        0.021        10.444        0.030        10.470        0.031          10.07   
        86         0.41          -23       14.175        0.050        14.295        0.050        13.871        0.030        13.959        0.031        12.168        0.030        12.253        0.033        11.806        0.023        11.892        0.028        11.610        0.032        11.690        0.037           9.23   
        87         0.63          -69        ...          ...           ...          ...          16.023        0.040        16.125        0.038        11.742        0.030        11.871        0.031        11.069        0.020        11.197        0.021        10.751        0.034        10.882        0.035          10.01   
        88         0.32          -53        ...          ...           ...          ...          13.822        0.030        13.955        0.031        11.625        0.031        11.765        0.032        11.138        0.021        11.248        0.023        10.941        0.043        10.995        0.059           9.63   
        89         0.67           30       14.072        0.050        14.109        0.050        13.689        0.030        13.723        0.030        11.701        0.030        11.754        0.032        11.243        0.021        11.311        0.023        11.004        0.031        11.075        0.034           9.61   
        90         0.72          -37       18.251        0.054        18.314        0.074        16.445        0.037        16.617        0.036        11.605        0.030        11.686        0.030        10.903        0.020        10.980        0.020        10.473        0.032        10.565        0.031          10.26   
        91         0.78          -24        ...          ...           ...          ...          13.761        0.030        13.810        0.031        10.510        0.030        10.560        0.031         9.798        0.020         9.852        0.020         9.409        0.030         9.461        0.030          10.65   
        92         0.76          -59       17.342        0.050        17.419        0.052        16.846        0.030        16.916        0.031        14.073        0.031        14.114        0.033        13.442        0.020        13.474        0.022        13.060        0.031        13.111        0.032           9.10   
        93         0.08           36       16.846        0.063        16.892        0.060        15.809        0.038        15.878        0.048        11.030        0.032        11.139        0.032        10.320        0.021        10.430        0.021         9.896        0.031        10.000        0.031          10.44   
        94         0.80            1       15.644        0.050        15.732        0.051        15.138        0.030        15.218        0.031        12.583        0.030        12.646        0.031        12.001        0.020        12.056        0.022        11.681        0.030        11.737        0.031           9.54   
        95         0.43          -55       17.056        0.140        17.159        0.077        16.560        0.031        16.628        0.035        13.128        0.030        13.169        0.031        12.393        0.020        12.430        0.021        12.002        0.030        12.039        0.031           9.66   
        96         0.36           75       14.864        0.050        14.866        0.050        14.205        0.030        14.208        0.030        11.511        0.030        11.524        0.030        10.906        0.020        10.918        0.021        10.581        0.030        10.594        0.031          10.01   
        97         0.77           20       16.065        0.050        16.090        0.052        15.055        0.031        15.089        0.033        10.500        0.030        10.534        0.032         9.661        0.020         9.690        0.020         9.165        0.030         9.199        0.030          11.00   
        98         0.82           58       17.039        0.054        17.113        0.053        16.480        0.031        16.555        0.033        13.530        0.032        13.623        0.033        12.858        0.024        12.971        0.023        12.529        0.034        12.620        0.036           9.31   
        99         0.05          -59       17.213        0.062        17.223        0.073        16.786        0.036        16.804        0.040        14.238        0.031        14.292        0.032        13.682        0.020        13.733        0.022        13.375        0.031        13.439        0.032           8.82   
       100         0.34          -72       16.184        0.053        16.233        0.051        15.213        0.030        15.270        0.031        12.084        0.030        12.233        0.031        11.403        0.020        11.548        0.021        11.015        0.030        11.173        0.031           9.98   
       101         0.40          -80        ...          ...           ...          ...          15.897        0.044        16.052        0.034        11.265        0.030        11.372        0.031        10.593        0.020        10.703        0.020        10.214        0.031        10.309        0.031          10.20   
       102         0.23           66       12.877        0.050        12.903        0.050        12.291        0.030        12.309        0.030        10.087        0.030        10.110        0.031         9.583        0.020         9.600        0.022         9.283        0.030         9.302        0.031          10.39   
       103         0.63           58       18.446        0.168        18.560        0.065        17.060        0.124        17.212        0.056        12.194        0.030        12.270        0.031        11.442        0.020        11.514        0.021        11.023        0.030        11.098        0.031          10.35   
       104         0.41          -55        ...          ...           ...          ...          18.224        0.045        18.436        0.047        14.637        0.032        14.866        0.038        13.944        0.028        14.255        0.030        13.682        0.038        13.943        0.038           8.80   
       105         0.09          -32       17.344        0.099        17.922        0.061        16.429        0.033        16.858        0.034        12.146        0.034        12.290        0.031        11.490        0.027        11.594        0.021        11.126        0.034        11.228        0.031           9.88   
       106         0.12            6       16.097        0.050        16.111        0.052        15.615        0.030        15.632        0.032        13.266        0.030        13.308        0.032        12.781        0.021        12.813        0.022        12.479        0.034        12.547        0.033           9.37   
       107         0.80           16       18.347        0.052        18.451        0.062        17.768        0.032        17.890        0.038        14.527        0.035        14.701        0.036        13.864        0.021        14.023        0.024        13.480        0.047        13.626        0.037           8.98   
       108         0.67           74       18.556        0.054        18.603        0.058        17.993        0.037        18.012        0.039        14.721        0.034        14.837        0.036        14.059        0.022        14.171        0.023        13.617        0.036        13.782        0.033           9.25   
       109         0.85            1       17.464        0.055        17.575        0.069        17.152        0.033        17.285        0.038        13.941        0.031        13.990        0.037        13.200        0.020        13.240        0.023        12.778        0.031        12.804        0.036           9.39   
       110         0.50          -28       14.464        0.050        14.468        0.050        14.055        0.030        14.059        0.030        12.308        0.030        12.320        0.032        11.900        0.021        11.916        0.024        11.697        0.032        11.709        0.035           9.23   
       111         0.45          -49       15.386        0.050        15.415        0.050        14.618        0.031        14.669        0.030        11.697        0.030        11.801        0.031        11.026        0.020        11.134        0.021        10.650        0.037        10.766        0.034          10.10   
       112         0.48           40        ...          ...           ...          ...          17.535        0.047        17.612        0.045        13.035        0.032        13.112        0.032        12.287        0.021        12.366        0.022        11.851        0.031        11.940        0.031          10.04   
       113         0.82           -3       16.822        0.066        16.956        0.060        15.839        0.036        16.099        0.038        12.001        0.031        12.185        0.034        11.137        0.020        11.308        0.021        10.633        0.031        10.790        0.032          10.44   
       114         0.10           -5       12.359        0.050        12.398        0.050        11.937        0.030        11.962        0.030         9.925        0.030         9.954        0.034         9.406        0.020         9.436        0.022         9.099        0.031         9.129        0.037          10.51   
       115         0.56          -12        ...          ...           ...          ...          18.230        0.033        18.265        0.039        14.352        0.031        14.383        0.032        13.570        0.020        13.614        0.021        13.174        0.030        13.213        0.031           9.24   
       116         0.44           32       19.591        0.628        19.571        0.280        17.737        0.047        17.764        0.082        13.045        0.031        13.120        0.033        12.336        0.021        12.425        0.022        11.955        0.032        12.052        0.032           9.62   
       117         0.69           24       18.302        0.052        18.345        0.064        16.845        0.032        16.894        0.039        12.416        0.030        12.455        0.032        11.633        0.020        11.665        0.020        11.188        0.030        11.221        0.031          10.35   
       118         0.30           13       14.844        0.050        15.052        0.052        14.659        0.030        14.829        0.033        13.293        0.031        13.416        0.033        13.018        0.021        13.132        0.023        12.808        0.051        12.951        0.047           8.67   
       119         0.68          -12       17.819        0.063        17.855        0.067        16.210        0.032        16.275        0.034        12.126        0.030        12.176        0.032        11.477        0.020        11.523        0.021        11.093        0.030        11.138        0.031           9.92   
       120         0.73          -37       17.963        0.058        17.962        0.107        16.469        0.041        16.496        0.050        12.099        0.030        12.164        0.033        11.356        0.020        11.422        0.021        10.956        0.030        11.012        0.031          10.08   
       121         0.73          -67       17.665        0.051        17.805        0.055        16.776        0.033        16.957        0.035        13.215        0.030        13.328        0.031        12.438        0.020        12.544        0.021        11.945        0.031        12.075        0.031          10.09   
       122         0.08           89       12.866        0.050        12.870        0.050        12.265        0.030        12.294        0.030         9.689        0.033         9.781        0.037         9.098        0.021         9.191        0.022         8.782        0.034         8.871        0.034          10.71   
       123         0.58           57       16.465        0.077        16.486        0.062        15.945        0.030        15.969        0.031        12.089        0.030        12.101        0.032        11.358        0.020        11.369        0.020        10.911        0.030        10.923        0.031          10.14   
       124         0.85           56       15.949        0.050        16.033        0.050        15.468        0.032        15.537        0.031        12.793        0.031        12.860        0.033        12.181        0.021        12.246        0.023        11.855        0.033        11.925        0.033           9.52   
       125         0.09            7        ...          ...           ...          ...          17.035        0.034        17.144        0.040        12.059        0.031        12.178        0.031        11.333        0.020        11.446        0.021        10.964        0.030        11.073        0.031          10.30   
       126         0.30          -81        ...          ...           ...          ...          16.799        0.047        16.867        0.065        11.751        0.036        11.867        0.034        11.060        0.024        11.162        0.025        10.597        0.033        10.711        0.033          10.24   
       127         0.46          -46       17.365        0.051        17.396        0.054        16.582        0.031        16.642        0.036        12.777        0.036        12.860        0.034        11.975        0.023        12.057        0.022        11.526        0.033        11.604        0.032          10.24   
       128         0.52           21       17.052        0.050        17.098        0.052        16.577        0.030        16.648        0.032        13.800        0.032        14.012        0.034        13.205        0.024        13.410        0.026        12.907        0.033        13.097        0.034           9.31   
       129         0.40           31        ...          ...           ...          ...          16.284        0.037        16.411        0.040        11.525        0.031        11.606        0.031        10.856        0.021        10.941        0.021        10.400        0.031        10.483        0.031          10.29   
       130         0.33           60       15.724        0.050        15.728        0.051        15.129        0.030        15.151        0.031        12.727        0.031        12.841        0.032        12.275        0.020        12.387        0.021        12.044        0.031        12.143        0.032           9.17   
       131         0.05           -3       17.009        0.051        17.054        0.052        16.477        0.030        16.537        0.031        13.756        0.034        13.954        0.036        13.149        0.024        13.379        0.026        12.811        0.042        13.051        0.038           9.41   
       132         0.07           46       15.502        0.050        15.527        0.050        15.173        0.030        15.198        0.030        13.423        0.032        13.499        0.032        13.027        0.023        13.135        0.024        12.760        0.036        12.899        0.035           9.13   
       133         0.62          -74       15.857        0.052        15.926        0.058        15.368        0.031        15.427        0.034        12.990        0.032        13.119        0.032        12.472        0.022        12.618        0.023        12.205        0.034        12.360        0.034           9.26   
       134         0.75           39       19.203        0.054        19.263        0.062        17.499        0.032        17.657        0.035        13.110        0.037        13.295        0.034        12.371        0.020        12.528        0.021        11.958        0.033        12.110        0.032           9.96   
       135         0.32           41       16.188        0.052        16.280        0.062        15.018        0.035        15.122        0.051        10.086        0.036        10.244        0.037         9.224        0.022         9.432        0.021         8.720        0.040         8.991        0.034          11.48   
       136         0.32           85       19.735        0.172        19.801        0.150        18.061        0.038        18.161        0.054        13.061        0.033        13.224        0.034        12.243        0.027        12.398        0.027        11.800        0.034        11.954        0.033          10.14   
       137         0.52           90       17.864        0.073        17.890        0.148        16.369        0.032        16.451        0.040        11.261        0.030        11.334        0.030        10.466        0.021        10.532        0.022        10.002        0.032        10.078        0.032          10.58   
       138         0.05           -3       15.947        0.063        15.940        0.117        14.532        0.049        14.676        0.054         9.577        0.039         9.676        0.037         8.784        0.039         8.865        0.026         8.363        0.042         8.440        0.039          11.18   
       139         0.40          -19       15.540        0.056        15.602        0.056        15.261        0.030        15.302        0.031        13.536        0.031        13.630        0.032        13.119        0.023        13.222        0.024        12.938        0.038        13.033        0.041           9.00   
       140         0.21            0       15.908        0.052        16.218        0.065        15.484        0.037        15.751        0.041        11.874        0.037        12.047        0.034        11.198        0.022        11.339        0.023        10.840        0.034        10.949        0.034          10.03   
       141         0.47          -25       15.878        0.050        15.911        0.051        15.248        0.030        15.293        0.032        11.985        0.031        12.118        0.031        11.275        0.021        11.403        0.022        10.893        0.030        11.014        0.031          10.32   
       142         0.41           20       14.474        0.050        14.554        0.050        14.199        0.030        14.261        0.030        12.311        0.031        12.392        0.031        11.805        0.020        11.897        0.020        11.577        0.039        11.654        0.034           9.42   
       143         0.76          -22       16.137        0.050        16.187        0.051        15.663        0.030        15.721        0.031        13.206        0.030        13.249        0.031        12.597        0.020        12.635        0.021        12.277        0.030        12.310        0.031           9.60   
       144         0.75          -89       15.241        0.053        15.333        0.051        14.541        0.031        14.685        0.031        11.399        0.030        11.574        0.031        10.773        0.020        10.929        0.021        10.409        0.031        10.564        0.031          10.14   
       145         0.30          -88       15.369        0.057        15.474        0.055        15.109        0.030        15.140        0.030        13.046        0.031        13.123        0.032        12.561        0.027        12.709        0.022        12.359        0.033        12.485        0.032           9.31   
       146         0.73          -24       17.416        0.051        17.479        0.053        16.791        0.031        16.906        0.032        13.771        0.031        13.962        0.034        13.179        0.021        13.353        0.024        12.835        0.031        13.021        0.034           9.38   
       147         0.81          -52        ...          ...           ...          ...          17.634        0.032        17.728        0.038        13.988        0.030        14.058        0.031        13.245        0.020        13.297        0.022        12.764        0.030        12.828        0.031           9.45   
