# HRS   CGCG      VCC   UGC    NGC    IC     R.A.           Dec.           Type   D_25    E(B-V)   Dist.   Tile-Name_NUV                texp_NUV    Tile-Name_FUV                texp_FUV    NOTE
  20    184-018   ...   5931   3395   2613   10:49:50.11    +32:58:58.3    8      2.09    0.0248   23.1    GI1_078004_NGC3395           2666.15     GI1_078004_NGC3395           1500.1      ...
  21    155-028   ...   5958   ...    ...    10:51:15.81    +27:50:54.9    6      1.45    0.0238   16.89   GI6_012011_HRS21_22          625.5       ...                          ...         F  
  22    155-029   ...   5959   3414   ...    10:51:16.23    +27:58:30.0    1      3.55    0.0249   20.2    GI6_012011_HRS21_22          625.5       ...                          ...         F  
  23    184-028   ...   5972   3424   ...    10:51:46.33    +32:54:02.7    5      2.82    0.0234   21.44   GI1_078004_NGC3395           2666.15     GI1_078004_NGC3395           1500.1      ...
  24    184-029   ...   5982   3430   ...    10:52:11.41    +32:57:01.5    7      3.98    0.0236   22.64   GI1_078004_NGC3395           2666.15     GI1_078004_NGC3395           1500.1      ...
  25    125-013   ...   5995   3437   ...    10:52:35.75    +22:56:02.9    7      2.51    0.0186   18.24   GI6_012012_HRS25             1676.45     AIS_482                      108.0       ...
  26    184-031   ...   5990   ...    ...    10:52:38.34    +34:28:59.3    4      1.35    0.0193   22.41   GI6_012013_HRS26_27          1915.1      AIS_90                       95.15       ...
  27    184-034   ...   6001   3442   ...    10:53:08.11    +33:54:37.3    3      0.62    0.0183   24.77   GI6_012013_HRS26_27          1915.1      AIS_90                       106.0       ...
  28    155-035   ...   6023   3451   ...    10:54:20.86    +27:14:22.9    9      1.7     0.0218   19.03   GI6_012014_HRS28             1705.0      AIS_482                      186.0       ...
  29    95-060    ...   6026   3454   ...    10:54:29.45    +17:20:38.3    7      2.09    0.0337   15.73   GI2_121006_LGG225_POS2       1600.15     GI2_121006_LGG225_POS2       1600.15     ...
  30    95-062    ...   6028   3455   ...    10:54:31.07    +17:17:04.7    5      2.38    0.0329   15.79   GI2_121006_LGG225_POS2       1600.15     GI2_121006_LGG225_POS2       1600.15     ...
  31    267-027   ...   6024   3448   ...    10:54:39.24    +54:18:18.8    13     5.62    0.0118   19.63   GI6_012015_HRS31             1659.45     AIS_92                       143.0       ...
  32    95-065    ...   6030   3457   ...    10:54:48.63    +17:37:16.3    5      0.91    0.0308   16.54   GI2_121006_LGG225_POS2       1600.15     GI2_121006_LGG225_POS2       1600.15     ...
  33    95-085    ...   6077   3485   ...    11:00:02.38    +14:50:29.7    5      2.1     0.021    20.46   GI4_042057_AOHI105917p150507 1580.0      GI4_042057_AOHI105917p150507 1580.0      ...
  34    95-097    ...   6116   3501   ...    11:02:47.32    +17:59:22.2    8      3.89    0.0234   16.14   GI6_012016_HRS34             1687.1      AIS_231                      109.0       ...
  35    267-037   ...   6115   3499   ...    11:03:11.03    +56:13:18.2    13     0.81    0.0087   21.74   ...                          ...         ...                          ...         S  
  36    155-049   ...   6118   3504   ...    11:03:11.21    +27:58:21.0    4      2.69    0.0264   21.94   GI6_012017_HRS36_37          1594.0      AIS_482                      109.0       ...
  37    155-051   ...   6128   3512   ...    11:04:02.98    +28:02:12.5    7      1.62    0.0282   19.61   GI6_012017_HRS36_37          1594.0      AIS_482                      109.0       ...
  38    38-129    ...   6167   3526   ...    11:06:56.63    +07:10:26.1    7      1.91    0.0334   20.27   ...                          ...         ...                          ...         S  
  39    66-115    ...   6169   ...    ...    11:07:03.35    +12:03:36.2    5      1.86    0.0155   22.24   GI6_012018_HRS39             1696.0      AIS_312                      102.05      ...
  40    67-019    ...   6209   3547   ...    11:09:55.94    +10:43:15.0    5      1.91    0.0241   22.63   GI4_042059_J111025p100734    1162.55     GI4_042059_J111025p100734    1162.55     ...
  41    96-011    ...   6267   3592   ...    11:14:27.25    +17:15:36.5    7      1.78    0.0152   18.61   GI3_103009_Abell1204         3715.3      GI3_103009_Abell1204         3715.3      ...
  42    96-013    ...   6277   3596   ...    11:15:06.21    +14:47:13.5    7      4.06    0.0272   17.04   GI6_012019_HRS42             1661.05     ...                          ...         N  
  43    96-022    ...   6299   3608   ...    11:16:58.96    +18:08:54.9    0      3.16    0.021    15.83   GI3_079016_NGC3608           2465.1      GI3_079016_NGC3608           2465.1      ...
  44    96-026    ...   6320   ...    ...    11:18:17.24    +18:50:49.0    5      0.89    0.0225   16.01   GI6_012020_HRS44             1658.1      AIS_231                      93.0        ...
  45    291-054   ...   6330   3619   ...    11:19:21.60    +57:45:27.8    1      2.69    0.0181   22.06   GI3_121017_J111904p574639    1680.0      GI3_121017_J111904p574639    1680.0      ...
  46    96-029    ...   6343   3626   ...    11:20:03.80    +18:21:24.5    1      2.69    0.0194   21.34   GI6_012020_HRS44             1658.1      ...                          ...         N  
  47    156-064   ...   6352   3629   ...    11:20:31.82    +26:57:48.2    8      2.29    0.0184   21.53   GI6_012021_HRS47             1707.0      AIS_111                      198.0       ...
  48    268-021   ...   6360   3631   ...    11:21:02.85    +53:10:11.0    7      5.01    0.0164   16.5    GI6_012022_HRS48_52          1582.15     AIS_92                       120.0       ...
  49    39-130    ...   6368   3640   ...    11:21:06.85    +03:14:05.4    0      3.98    0.0422   17.87   NGA_NGC3640                  2039.15     NGA_NGC3640                  2039.15     ...
  50    96-037    ...   6396   3655   ...    11:22:54.62    +16:35:24.5    7      1.55    0.0254   21.43   GI6_012023_HRS50             1655.15     AIS_231                      112.0       ...
  51    96-038    ...   6405   3659   ...    11:23:45.49    +17:49:06.8    11     2.09    0.0193   18.56   GI6_012024_HRS51             1648.0      ...                          ...         N  
  52    268-030   ...   6406   3657   ...    11:23:55.57    +52:55:15.5    7      1.45    0.0166   17.2    GI6_012022_HRS48_52          1582.15     AIS_92                       120.0       ...
  53    67-071    ...   6420   3666   ...    11:24:26.07    +11:20:32.0    7      4.37    0.0324   15.14   GI6_012025_HRS53             1557.1      AIS_232                      333.05      ...
  54    96-045    ...   6445   3681   ...    11:26:29.80    +16:51:47.5    6      2.25    0.0262   17.77   GI6_012026_HRS54_55_57_58    1562.1      AIS_231                      112.0       ...
  55    96-047    ...   6453   3684   ...    11:27:11.18    +17:01:49.0    6      2.89    0.0259   16.54   GI6_012026_HRS54_55_57_58    1562.1      AIS_231                      110.0       ...
  56    291-072   ...   6458   3683   ...    11:27:31.85    +56:52:37.4    7      1.86    0.0154   24.4    GI6_012027_HRS56             1783.65     AIS_99                       208.05      ...
  57    96-049    ...   6460   3686   ...    11:27:43.95    +17:13:26.8    6      3.19    0.0243   16.51   GI6_012026_HRS54_55_57_58    1562.1      AIS_231                      105.0       ...
  58    96-050    ...   6464   3691   ...    11:28:09.41    +16:55:13.7    5      1.35    0.0261   15.24   GI6_012026_HRS54_55_57_58    1562.1      AIS_231                      110.0       ...
  59    67-084    ...   6474   3692   ...    11:28:24.01    +09:24:27.5    5      3.16    0.0321   24.53   GI6_012028_HRS59             1652.05     AIS_232                      138.0       ...
  60    268-051   ...   6547   3729   ...    11:33:49.34    +53:07:31.8    3      2.82    0.0114   15.14   GI1_078002_NGC3718           1620.55     GI1_078002_NGC3718           1620.55     ...
  61    292-009   ...   6575   ...    ...    11:36:26.47    +58:11:29.0    8      1.95    0.0154   17.39   AIS_99                       103.0       AIS_99                       103.0       ...
  62    186-012   ...   6577   3755   ...    11:36:33.37    +36:24:37.2    7      3.16    0.0251   22.44   GI6_012029_HRS62             1657.0      AIS_106                      105.0       ...
  63    268-063   ...   6579   3756   ...    11:36:48.02    +54:17:36.8    6      4.17    0.0114   18.41   GI4_016009_NGC3738           1612.2      GI4_016009_NGC3738           1612.2      ...
  64    292-017   ...   6629   3795   ...    11:40:06.84    +58:36:47.2    7      2.14    0.0144   17.33   GI6_012030_HRS64             1983.6      ...                          ...         N  
  65    292-019   ...   6640   3794   ...    11:40:53.42    +56:12:07.3    9      2.24    0.0132   19.76   GI6_012031_HRS65             1513.25     AIS_99                       119.0       ...
  66    186-024   ...   6651   3813   ...    11:41:18.65    +36:32:48.3    5      2.24    0.019    20.97   GI6_012032_HRS66             1605.05     AIS_106                      100.1       ...
  67    268-076   ...   6706   ...    ...    11:44:14.83    +55:02:05.9    11     1.91    0.0135   20.51   GI6_012033_HRS67             1557.05     AIS_99                       198.05      ...
  68    186-045   ...   ...    ...    ...    11:46:25.96    +34:51:09.2    5      0.32    0.0205   20.17   GI6_012034_HRS68             1571.1      AIS_106                      111.0       ...
  69    268-088   ...   6787   3898   ...    11:49:15.37    +56:05:03.7    4      4.37    0.0209   16.73   GI6_012035_HRS69             1499.55     AIS_99                       207.0       ...
  70    ...       ...   ...    ...    2969   11:52:31.27    -03:52:20.1    6      1.23    0.0275   23.1    GI6_012037_HRS70_72          1642.1      AIS_332                      128.05      ...
  71    292-042   ...   6860   3945   ...    11:53:13.73    +60:40:32.0    1      5.25    0.0287   17.99   GI6_012036_HRS71             1504.0      ...                          ...         F  
  72    ...       ...   ...    3952   2972   11:53:40.63    -03:59:47.5    12     1.58    0.0254   22.53   GI6_012037_HRS70_72          1642.1      AIS_332                      128.05      ...
  73    269-013   ...   6870   3953   ...    11:53:48.92    +52:19:36.4    6      6.92    0.03     15.0    ...                          ...         ...                          ...         S  
  74    269-019   ...   6918   3982   ...    11:56:28.10    +55:07:30.6    5      2.34    0.0141   15.83   GI6_012039_HRS74_75          2803.1      ...                          ...         N  
  75    269-020   ...   6919   ...    ...    11:56:37.51    +55:37:59.5    10     1.45    0.0144   18.33   GI6_012039_HRS74_75          2803.1      ...                          ...         N  
  76    269-022   ...   6923   ...    ...    11:56:49.43    +53:09:37.3    12     2.0     0.026    15.27   ...                          ...         ...                          ...         S  
  77    13-033    ...   6993   4030   ...    12:00:23.64    -01:06:00.0    6      4.17    0.0266   20.83   GI3_067001_SN2007aa          1615.0      GI3_067001_SN2007aa          1615.0      ...
  78    98-019    ...   6995   4032   ...    12:00:32.82    +20:04:26.0    12     1.86    0.0347   18.13   GI6_012040_HRS78             1662.15     AIS_226                      104.05      ...
  79    69-024    ...   7001   4019   755    12:01:10.39    +14:06:16.2    5      2.4     0.0317   21.54   AIS_227                      106.0       AIS_227                      106.0       ...
  80    69-027    ...   7002   4037   ...    12:01:23.67    +13:24:03.7    5      2.51    0.0288   17.0    AIS_227                      107.0       AIS_227                      107.0       ...
  81    13-046    ...   7021   4045   ...    12:02:42.26    +01:58:36.4    3      3.0     0.0225   17.0    GI3_103010_MKW4              2212.05     GI3_103010_MKW4              2212.05     ...
  82    98-037    ...   ...    ...    ...    12:03:35.94    +16:03:20.0    4      0.6     0.03     17.0    AIS_227                      222.0       AIS_227                      110.0       ...
  83    41-031    ...   7035   ...    ...    12:03:40.14    +02:38:28.4    3      1.1     0.027    17.6    GI3_103010_MKW4              2212.05     GI3_103010_MKW4              2212.05     ...
  84    69-036    ...   7048   4067   ...    12:04:11.55    +10:51:15.8    5      1.2     0.0252   17.0    GI4_042028_AOHI120446p103742 1213.2      GI4_042028_AOHI120446p103742 1213.2      ...
  85    243-044   ...   7095   4100   ...    12:06:08.60    +49:34:56.3    6      5.37    0.0231   15.31   GI6_012042_HRS85             1326.25     AIS_102                      112.0       ...
  86    41-041    ...   7111   4116   ...    12:07:36.82    +02:41:32.0    10     3.8     0.0218   17.0    MISDR1_13258_0517            3221.15     MISDR1_13258_0517            1544.1      ...
  87    69-058    ...   7117   4124   ...    12:08:09.64    +10:22:43.4    1      4.1     0.0279   17.0    AIS_227                      112.0       ...                          ...         F  
  88    41-042    ...   7116   4123   ...    12:08:11.11    +02:52:41.8    7      5.0     0.0201   17.0    MISDR1_13257_0517            223.0       ...                          ...         E  
  89    69-088    66    7215   4178   ...    12:12:46.45    +10:51:57.5    10     5.35    0.0279   17.0    GI1_079002_NGC4178           3499.5      GI1_079002_NGC4178           2231.3      ...
  90    13-104    ...   7214   4179   ...    12:12:52.11    +01:17:58.9    1      3.8     0.0336   17.0    GI5_048025_GAMA12_13364      1701.05     GI5_048025_GAMA12_13364      1700.05     ...
  91    98-108    92    7231   4192   ...    12:13:48.29    +14:54:01.2    4      9.78    0.035    17.0    NGA_NGC4192                  1226.1      ...                          ...         N  
  92    69-101    131   7255   ...    3061   12:15:04.44    +14:01:44.3    7      2.6     0.0371   17.0    GI2_007006_S_121410p140127   24304.05    GI2_007006_S_121410p140127   15983.8     ...
  93    187-029   ...   7256   4203   ...    12:15:05.06    +33:11:50.4    1      3.39    0.012    15.59   WDST_HZ_21                   458.0       WDST_HZ_21                   458.0       ...
  94    69-104    145   7260   4206   ...    12:15:16.81    +13:01:26.3    6      5.1     0.0315   17.0    VIRGO_SPEC_1                 2604.2      VIRGO_SPEC_1                 1672.0      ...
  95    69-107    152   7268   4207   ...    12:15:30.50    +09:35:05.6    8      1.96    0.0173   17.0    GI6_001013_GUVICS013         702.4       AIS_227                      91.0        ...
  96    69-110    157   7275   4212   ...    12:15:39.36    +13:54:05.4    7      3.6     0.0331   17.0    GI2_007006_S_121410p140127   24304.05    GI2_007006_S_121410p140127   15983.8     ...
  97    69-112    167   7284   4216   ...    12:15:54.44    +13:08:57.8    5      9.12    0.0317   17.0    VIRGO_SPEC_1                 2604.2      VIRGO_SPEC_1                 1672.0      ...
  98    69-119    187   7291   4222   ...    12:16:22.52    +13:18:25.5    7      3.52    0.0313   17.0    VIRGO_SPEC_1                 2604.2      VIRGO_SPEC_1                 1672.0      ...
  99    69-123    213   7305   ...    3094   12:16:56.00    +13:37:31.0    5      0.93    0.0347   17.0    AIS_227                      112.0       AIS_227                      112.0       ...
  100   98-130    226   7315   4237   ...    12:17:11.42    +15:19:26.3    6      2.01    0.03     17.0    GI1_077009_Feige59           1565.65     GI1_077009_Feige59           1565.65     ...
  101   158-060   ...   7338   4251   ...    12:18:08.31    +28:10:31.1    1      3.63    0.0227   15.3    GI6_012046_HRS101            2085.2      ...                          ...         F  
  102   98-144    307   7345   4254   ...    12:18:49.63    +14:24:59.4    7      6.15    0.0388   17.0    GI2_017001_J121754p144525    27726.0     GI2_017001_J121754p144525    18131.3     ...
  103   42-015    341   7361   4260   ...    12:19:22.24    +06:05:55.2    3      3.52    0.0233   23.0    GI4_012001_PG1216p069        33699.85    GI4_012001_PG1216p069        30170.35    ...
  104   99-015    ...   7366   ...    ...    12:19:28.66    +17:13:49.4    5      1.2     0.0242   17.0    GI6_012047_HRS104            1688.0      ...                          ...         F  
  105   99-014    355   7365   4262   ...    12:19:30.58    +14:52:39.8    1      1.87    0.0357   17.0    GI2_017001_J121754p144525    27726.0     GI2_017001_J121754p144525    18131.3     ...
  106   42-032    393   7385   4276   ...    12:20:07.50    +07:41:31.2    7      2.1     0.0292   23.0    GI2_125016_AGESstrip1_16     1482.1      GI2_125016_AGESstrip1_16     1482.1      ...
  107   42-033    404   7387   ...    ...    12:20:17.35    +04:12:05.1    9      1.89    0.0224   17.0    NGA_NGC4303                  1992.25     NGA_NGC4303                  941.05      ...
  108   42-037    434   ...    4287   ...    12:20:48.49    +05:38:23.5    7      1.76    0.0195   23.0    GI3_079021_NGC4261           1655.0      GI3_079021_NGC4261           1655.0      ...
  109   42-038    449   7403   4289   ...    12:21:02.25    +03:43:19.7    8      4.33    0.0194   17.0    GI6_001034_GUVICS034         1640.4      AIS_228                      213.0       ...
  110   70-024    465   7407   4294   ...    12:21:17.79    +11:30:40.0    8      3.95    0.0339   17.0    GI5_057001_NGC4313           3862.1      GI5_057001_NGC4313           3862.1      ...
  111   99-024    483   7412   4298   ...    12:21:32.76    +14:36:22.2    7      3.6     0.0353   17.0    GI2_017001_J121754p144525    27726.0     GI2_017001_J121754p144525    18131.3     ...
  112   42-044    492   7413   4300   ...    12:21:41.47    +05:23:05.4    3      2.16    0.0216   23.0    GI6_001033_GUVICS033         1668.2      ...                          ...         F  
  113   99-027    497   7418   4302   ...    12:21:42.48    +14:35:53.9    7      6.74    0.0353   17.0    GI2_017001_J121754p144525    27726.0     GI2_017001_J121754p144525    18131.3     ...
  114   42-045    508   7420   4303   ...    12:21:54.90    +04:28:25.1    6      6.59    0.0224   17.0    NGA_NGC4303                  1992.25     NGA_NGC4303                  941.05      ...
  115   42-047    517   7422   ...    ...    12:22:01.30    +05:06:00.2    4      1.41    0.0198   17.0    GI6_001033_GUVICS033         1668.2      ...                          ...         F  
  116   70-031    522   7432   4305   ...    12:22:03.60    +12:44:27.3    3      2.6     0.0421   17.0    GI4_042074_J122100p124340    1209.05     GI4_042074_J122100p124340    1209.05     ...
  117   70-029    524   7431   4307   ...    12:22:05.63    +09:02:36.8    5      3.95    0.0228   23.0    GI5_057002_NGC4307           6337.45     GI5_057002_NGC4307           6337.45     ...
  118   42-053    552   7439   ...    ...    12:22:27.25    +04:33:58.7    8      1.89    0.0242   17.0    NGA_NGC4303                  1992.25     NGA_NGC4303                  941.05      ...
  119   99-029    559   7442   4312   ...    12:22:31.36    +15:32:16.5    4      5.1     0.0273   17.0    NGA_NGC4321                  2932.2      NGA_NGC4321                  1754.1      ...
  120   70-034    570   7445   4313   ...    12:22:38.55    +11:48:03.4    4      5.1     0.0365   17.0    GI1_079007_NGC4351           1937.25     GI1_079007_NGC4351           1937.25     ...
  121   70-035    576   7447   4316   ...    12:22:42.24    +09:19:56.9    6      2.48    0.0221   23.0    GI5_057002_NGC4307           6337.45     GI5_057002_NGC4307           6337.45     ...
  122   99-030    596   7450   4321   ...    12:22:54.90    +15:49:20.6    6      9.12    0.0262   17.0    NGA_NGC4321                  2932.2      NGA_NGC4321                  1754.1      ...
  123   42-063    613   7451   4324   ...    12:23:06.18    +05:15:01.5    1      3.52    0.0245   17.0    GI6_001033_GUVICS033         1668.2      AIS_228                      112.0       ...
  124   70-039    630   7456   4330   ...    12:23:17.25    +11:22:04.7    8      5.86    0.0241   17.0    GI5_057001_NGC4313           3862.1      GI5_057001_NGC4313           3862.1      ...
  125   42-068    648   7461   4339   ...    12:23:34.94    +06:04:54.2    0      2.31    0.026    23.0    GI6_001037_GUVICS037         1678.0      ...                          ...         F  
  126   99-036    654   7467   4340   ...    12:23:35.31    +16:43:19.9    1      3.6     0.0268   17.0    GI6_001038_GUVICS038         2151.1      ...                          ...         F  
  127   42-070    656   7465   4343   ...    12:23:38.70    +06:57:14.7    5      2.48    0.0214   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  128   42-072    667   7469   ...    3259   12:23:48.52    +07:11:12.6    10     1.89    0.0224   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  129   99-038    685   7473   4350   ...    12:23:57.81    +16:41:36.1    1      3.2     0.028    17.0    GI6_001038_GUVICS038         2151.1      ...                          ...         F  
  130   70-045    692   7476   4351   ...    12:24:01.56    +12:12:18.1    4      2.92    0.0289   17.0    GI1_079007_NGC4351           1937.25     GI1_079007_NGC4351           1937.25     ...
  131   42-079    697   7474   ...    3267   12:24:05.53    +07:02:28.6    8      1.55    0.0232   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  132   42-080    699   7477   ...    3268   12:24:07.44    +06:36:26.9    13     1.95    0.0247   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  133   158-099   ...   7483   4359   ...    12:24:11.06    +31:31:17.8    7      3.6     0.0247   17.9    AIS_112                      109.0       AIS_112                      109.0       ...
  134   70-048    713   7482   4356   ...    12:24:14.53    +08:32:08.9    7      3.2     0.0269   23.0    GI5_057002_NGC4307           6337.45     GI5_057002_NGC4307           6337.45     ...
  135   42-083    731   7488   4365   ...    12:24:28.23    +07:19:03.1    0      8.73    0.0211   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  136   42-089    758   7492   4370   ...    12:24:54.93    +07:26:40.4    3      1.76    0.0237   23.0    GI2_125012_AGESstrip1_12     4511.15     GI2_125012_AGESstrip1_12     2939.6      ...
  137   70-057    759   7493   4371   ...    12:24:55.43    +11:42:15.4    1      5.1     0.0359   17.0    NGA_Virgo_MOS08              4312.15     NGA_Virgo_MOS08              1602.1      ...
  138   70-058    763   7494   4374   ...    12:25:03.78    +12:53:13.1    0      10.07   0.04     17.0    NGA_Virgo_MOS10              3128.45     NGA_Virgo_MOS10              1590.25     ...
  139   42-093    787   7498   4376   ...    12:25:18.06    +05:44:28.3    12     1.84    0.023    23.0    GI6_001040_GUVICS040         1639.15     AIS_228                      112.0       ...
  140   42-092    785   7497   4378   ...    12:25:18.09    +04:55:30.2    3      3.06    0.0163   17.0    GI6_001043_GUVICS043         1490.55     AIS_228                      212.0       ...
  141   70-061    792   7503   4380   ...    12:25:22.17    +10:01:00.5    5      3.52    0.0236   23.0    GI1_079009_Group4            2009.15     GI1_079009_Group4            2008.15     ...
  142   99-044    801   7507   4383   ...    12:25:25.50    +16:28:12.0    3      2.6     0.0237   17.0    VIRGO_SPEC_2                 2415.45     VIRGO_SPEC_2                 2415.45     ...
  143   42-095    827   7513   ...    ...    12:25:42.63    +07:13:00.1    8      3.6     0.0256   23.0    GI2_125009_AGESstrip1_09     3188.05     GI2_125009_AGESstrip1_09     1572.05     ...
  144   70-068    836   7520   4388   ...    12:25:46.82    +12:39:43.5    5      5.1     0.0331   17.0    NGA_Virgo_MOS02              2702.15     NGA_Virgo_MOS02              1604.05     ...
  145   70-067    849   7519   4390   ...    12:25:50.67    +10:27:32.6    6      2.18    0.031    23.0    GI6_001041_GUVICS041         1696.0      AIS_227                      112.0       ...
  146   42-098    851   7518   ...    3322   12:25:54.12    +07:33:17.4    8      2.16    0.0293   23.0    GI2_125010_AGESstrip1_10     3266.45     GI2_125010_AGESstrip1_10     1637.4      ...
  147   42-099    859   7522   ...    ...    12:25:58.30    +03:25:47.3    9      2.92    0.0231   17.0    GI6_001042_GUVICS042         1654.1      ...                          ...         F  
  148   99-049    865   7526   4396   ...    12:25:58.80    +15:40:17.3    9      3.36    0.0261   17.0    NGA_NGC4421                  2052.6      NGA_NGC4421                  1026.5      ...
  149   70-071    873   7528   4402   ...    12:26:07.56    +13:06:46.0    5      3.95    0.029    17.0    NGA_Virgo_MOS10              3128.45     NGA_Virgo_MOS10              1590.25     ...
  150   70-072    881   7532   4406   ...    12:26:11.74    +12:56:46.4    0      11.37   0.0291   17.0    NGA_Virgo_MOS10              3128.45     NGA_Virgo_MOS10              1590.25     ...
  151   70-076    912   7538   4413   ...    12:26:32.25    +12:36:39.5    4      2.92    0.0322   17.0    NGA_Virgo_MOS02              2702.15     NGA_Virgo_MOS02              1604.05     ...
  152   42-104    921   7536   4412   ...    12:26:36.10    +03:57:52.7    5      1.89    0.018    17.0    GI6_001042_GUVICS042         1654.1      AIS_228                      206.0       ...
  153   42-105    938   7541   4416   ...    12:26:46.72    +07:55:08.4    8      2.18    0.0253   17.0    GI2_125010_AGESstrip1_10     3266.45     GI2_125010_AGESstrip1_10     1637.4      ...
  154   70-082    939   7546   ...    ...    12:26:47.23    +08:53:04.6    8      3.45    0.0293   23.0    GI2_125011_AGESstrip1_11     2065.2      GI2_125011_AGESstrip1_11     2065.2      ...
  155   70-080    944   7542   4417   ...    12:26:50.62    +09:35:03.0    1      3.6     0.0246   23.0    GI1_079009_Group4            2009.15     GI1_079009_Group4            2008.15     ...
  156   99-054    958   7551   4419   ...    12:26:56.43    +15:02:50.7    3      3.52    0.033    17.0    GI1_079012_Group5            1616.1      GI1_079012_Group5            1616.1      ...
  157   42-106    957   7549   4420   ...    12:26:58.48    +02:29:39.7    6      2.01    0.0178   17.0    GI4_012003_3C273             50050.5     GI4_012003_3C273             29948.6     ...
  158   42-107    971   7556   4423   ...    12:27:08.97    +05:52:48.6    10     3.06    0.0209   23.0    GI6_001048_GUVICS048         1680.0      AIS_228                      217.0       ...
  159   70-090    979   7561   4424   ...    12:27:11.59    +09:25:14.0    3      4.33    0.0207   23.0    GI1_079009_Group4            2009.15     GI1_079009_Group4            2008.15     ...
  160   42-111    1002  7566   4430   ...    12:27:26.41    +06:15:46.0    5      3.02    0.0186   23.0    GI6_001044_GUVICS044         1674.1      AIS_228                      112.0       ...
  161   70-093    1003  7568   4429   ...    12:27:26.56    +11:06:27.1    1      8.12    0.033    17.0    GI6_001049_GUVICS049         1704.0      ...                          ...         F  
  162   70-098    1030  7575   4435   ...    12:27:40.49    +13:04:44.2    1      2.92    0.0295   17.0    NGA_Virgo_MOS09              4536.45     NGA_Virgo_MOS09              1403.2      ...
