#      HRS          Re_FUV        RISO_FUV       mue_FUV          Re_NUV       RISO_NUV       mue_NUV         Re_g          RISO_g         mue_g           Re_r          RISO_r        mue_r           Re_i          RISO_i         mue_i
        38            ...            ...           ...             ...            ...           ...           32.1           69.6          21.47           32.8           72.5         21.05           34.2           70.2          20.86  
        39           24.1           65.7          24.67           23.8           61.6          24.29          20.1           43.8          21.57           18.8           43.1         20.87           18.4           40.7          20.51  
        40           18.1           51.4          23.04           18.2           63.6          22.58          18.5           48.6          20.70           18.3           48.4         20.29           18.9           47.3          20.14  
        41           26.2           51.0          25.45           28.1           64.0          24.97          29.6           61.8          21.92           29.6           64.3         21.25           30.2           62.4          20.91  
        42            ...            ...           ...            43.1          138.3          23.65          39.0           82.6          21.44           37.2           79.1         20.85           37.3           74.3          20.55  
        43           23.5           24.9          26.47           32.1           60.6          25.69          33.7           96.3          20.75           39.9          111.6         20.33           36.1          101.9          19.79  
        44            9.9           39.9          22.49           10.3           44.2          22.15          13.3           33.1          20.96           13.9           33.7         20.69           15.7           32.5          20.75  
        45           26.6           39.9          25.94           30.4           59.5          25.46          37.8           83.6          21.68           36.8           87.1         20.93           35.3           82.6          20.48  
        46            ...            ...           ...            18.8           72.2          23.57          27.5           87.7          20.41           28.3           90.4         19.84           27.6           88.4          19.41  
        47           31.7           72.9          23.99           31.1           70.6          23.65          28.5           57.0          21.85           27.8           55.9         21.47           27.9           53.4          21.28  
        48           72.0          161.0          24.33           66.6          143.2          23.87          62.8          124.8          21.72           60.3          123.0         21.19           58.7          118.8          20.88  
        49           26.2           21.6          27.10           39.0           67.4          25.76          32.4          118.9          20.39           29.4          125.7         19.41           30.1          124.8          18.99  
        50           23.6           65.6          23.80           20.3           68.0          22.83          20.0           58.5          20.22           18.8           60.7         19.47           19.6           58.8          19.30  
        51            ...            ...           ...            20.6           80.4          22.85          19.8           51.2          20.88           20.3           52.8         20.44           20.3           48.4          20.22  
        52           50.0          127.1          25.54           38.4          102.9          24.91          13.7           35.9          20.51           10.8           32.5         19.55            9.8           30.1          19.08  
        53           67.7          131.8          24.98           58.7          138.8          24.21          38.8          109.2          21.03           34.8          107.1         20.22           33.1           98.6          19.80  
        54           41.0          110.5          25.11           37.4          101.9          24.58          22.4           62.5          20.85           21.0           62.4         20.07           20.4           57.6          19.67  
        55           44.5          131.9          24.50           37.3          118.0          23.72          30.3           80.6          21.19           28.0           70.1         20.54            ...            ...           ...   
        56           30.5           61.1          25.26           26.4           71.3          24.29          23.4           62.9          20.69           20.8           63.9         19.71           20.2           61.9          19.23  
        57           39.3           96.9          24.06           37.8           96.0          23.51          40.1           93.5          21.35           39.5           94.3         20.78           39.2           92.6          20.47  
        58           19.3           44.2          23.62           19.1           51.9          23.22          19.5           42.9          21.29           18.7           40.9         20.83           19.8           42.2          20.62  
        59           50.0          100.2          24.97           47.1          109.4          24.27          34.6           93.3          20.82           31.1           94.2         19.92           29.4           90.7          19.44  
        60           26.7           56.4          24.32           27.2           80.6          23.75          34.1           84.0          21.15           34.0           85.9         20.49           34.8           85.1          20.16  
        61           29.8           74.9          24.02           29.4           77.1          23.63          24.7           52.0          21.66           24.0           50.4         21.23           23.9           47.2          21.03  
        62           69.6          143.6          24.84           66.3          138.5          24.45          51.5           98.6          22.35           44.1           93.4         21.69           41.0           85.1          21.33  
        63           60.4          128.3          25.03           57.2          133.4          24.43          51.9          114.4          21.60           49.9          113.2         20.95           49.4          109.9          20.60  
        64            ...            ...           ...            28.7           69.7          24.23          24.3           56.7          21.31           23.3           56.3         20.68           22.8           53.6          20.34  
        65           38.0          101.8          24.30           35.0          100.9          23.86          31.7           68.1          22.04           30.0           65.4         21.54           30.3           61.2          21.32  
        66           38.0          125.7          23.81           35.5          116.0          23.13          30.0           77.2          20.52           28.4           76.6         19.90           27.6           73.8          19.57  
        67           22.1           66.2          23.79           22.3           71.8          23.48          26.7           60.4          22.00           27.6           57.3         21.71           30.7           48.5          21.69  
        68            ...           13.2           ...             ...           20.1           ...            ...           16.0           ...             ...           17.1          ...             ...           16.4           ...   
        69           72.5          117.9          25.87           65.9          125.1          25.31          36.3          123.6          20.36           33.4          130.7         19.43           32.9          126.2          18.99  
        70           19.4           49.9          23.25           19.2           53.1          22.90           ...            ...           ...             ...            ...          ...             ...            ...           ...   
        71            ...            ...           ...            62.8           77.5          26.41          35.5          145.2          20.27           32.2          150.0         19.34           32.6          148.4          18.92  
        72           12.7           76.9          22.10           14.2           68.1          21.94           ...            ...           ...             ...            ...          ...             ...            ...           ...   
        73            ...            ...           ...             ...            ...           ...           79.9          185.7          21.38           75.7          190.5         20.50           72.6          187.1          20.00  
        74            ...            ...           ...            19.5           86.9          22.02          19.9           58.2          20.13           19.7           57.4         19.64           19.6           54.4          19.39  
        75            ...            ...           ...            19.1           39.2          25.38          21.9           40.0          22.25           21.8           41.6         21.56           21.9           40.4          21.17  
        76            ...            ...           ...             ...            ...           ...           30.5           58.3          21.87           30.0           56.8         21.46           32.4           54.4          21.37  
        77           55.6          123.2          24.39           44.6          132.4          23.21          37.0          115.8          20.32           34.9          118.7         19.58           34.0          115.3          19.17  
        78           20.9           73.1          23.41           20.4           67.5          23.04          19.5           48.9          21.04           19.8           49.1         20.64           20.3           47.1          20.45  
        79           20.1          108.7          22.46           20.9           98.5          22.21          22.0           58.3          20.79           22.4           56.8         20.51           23.3           53.6          20.45  
        80           38.9           73.0          25.46           37.5           78.7          24.91          44.5           77.2          22.61           44.2           78.7         22.05           45.6           75.1          21.81  
        81           37.3           61.9          25.63           33.5           83.8          24.69          30.5           81.9          21.21           29.3           85.9         20.43           28.2           82.1          19.95  
        82            8.8           28.6          23.06            8.8           31.5          22.55          11.0           26.1          20.85           10.9           26.0         20.33           11.1           25.2          20.14  
        83           12.6           42.9          22.97           13.5           54.8          22.67          16.8           41.3          21.12           17.6           42.1         20.82           18.1           40.2          20.67  
        84           20.1           37.9          24.36           20.0           44.3          23.93          14.8           37.0          20.73           13.6           37.7         19.89           13.6           36.9          19.59  
        85           74.5          188.0          24.87           67.5          177.0          24.17          61.7          146.4          21.20           58.5          147.0         20.44           56.7          140.7          20.00  
        86           57.3          142.3          24.39           55.0          141.4          23.99          50.1          101.9          22.09           48.5           96.1         21.66           47.1           85.5          21.40  
        87            ...            ...           ...            57.3          127.3          25.73          51.5          125.6          21.21           50.9          133.9         20.52           50.5          122.9          20.18  
        88            ...            ...           ...            75.7          180.7          24.79          63.4          107.0          22.21           58.4          104.9         21.55           53.1           98.8          21.14  
        89           97.2          164.5          24.80           95.9          177.7          24.39          83.4          150.5          22.10           80.5          149.4         21.56           77.9          142.6          21.25  
        90           24.0           39.9          25.76           40.2           97.0          25.08          32.9          123.3          19.81           33.3          127.3         19.13           34.9          127.7          18.80  
        91            ...            ...           ...           156.4          309.5          25.08         123.9          294.9          21.33          117.2          299.9         20.49          114.0          294.4          20.04  
        92           37.7           68.8          25.67           35.8           74.5          25.06          28.4           57.3          21.78           26.4           57.4         20.99           26.3           56.1          20.61  
        93           38.9           53.5          26.70           39.2           79.8          25.67          36.1          104.0          20.72           37.3          107.7         20.08           37.0          106.4          19.64  
        94           83.5          150.5          25.50           82.1          163.6          24.96          67.6          133.6          21.98           63.1          133.8         21.25           60.0          127.2          20.82  
        95           20.0           49.4          24.95           21.2           60.0          24.57          20.8           51.4          21.10           19.8           52.6         20.26           19.3           51.2          19.81  
        96           37.5           81.5          24.24           36.5           90.2          23.52          36.6           89.7          20.84           35.8           91.0         20.19           35.5           88.7          19.85  
        97          123.7          167.4          26.93          121.3          197.9          25.87          85.8          244.7          20.57           76.1          253.9         19.47           74.1          255.1          18.91  
        98           44.1           87.9          25.40           45.6          104.7          24.91          46.3           90.8          21.99           46.5           96.0         21.33           44.8           90.8          20.92  
        99            8.8           22.2          23.88            9.0           26.4          23.49           8.6           22.7          20.86            8.6           23.5         20.29            8.7           22.9          20.01  
       100           25.5           46.4          24.76           24.1           60.1          23.67          26.5           68.2          20.74           26.1           71.2         20.03           26.5           69.7          19.67  
       101            ...            ...           ...            35.7           80.4          25.10          25.1          103.4          19.70           26.2          110.9         19.13           26.3          106.2          18.75  
       102           80.9          186.2          24.13           73.8          193.1          23.34          67.9          169.3          20.96           62.3          167.0         20.27           59.4          162.4          19.86  
       103           38.7           42.5          27.30           43.2           70.0          26.16          36.5          105.3          20.92           35.9          110.2         20.13           36.4          109.0          19.75  
       104            ...            ...           ...            16.5           29.8          25.74          17.6           31.6          22.29           19.3           33.0         21.80           18.3           31.0          21.42  
       105           42.8           22.8          27.39           29.9           46.3          25.70          15.9           54.6          20.04           16.1           56.3         19.41           17.1           55.2          19.19  
       106           25.5           51.0          24.99           25.2           55.1          24.47          23.8           48.7          22.01           23.0           48.6         21.45           23.5           45.5          21.19  
       107           32.0           51.3          26.12           32.5           59.8          25.58          31.3           56.0          22.25           30.0           56.8         21.50           29.1           55.4          21.05  
       108           13.5           31.0          25.00           13.1           37.6          24.37          18.7           38.6          21.87           18.4           40.8         21.18           19.8           40.1          20.89  
       109           66.8           86.6          26.52           65.9          115.9          26.18          43.3           93.9          22.06           39.9           97.6         21.14           35.8           93.5          20.48  
       110           35.6           86.4          23.47           34.2           95.7          22.97          33.8           77.7          21.19           33.5           76.8         20.77           34.3           74.1          20.62  
       111           46.6           87.4          25.07           45.3          101.3          24.24          47.7          108.5          21.44           47.0          114.1         20.73           47.1          111.2          20.36  
       112            ...            ...           ...            23.1           40.2          25.64          22.1           54.3          21.04           21.2           57.1         20.21           22.0           57.9          19.85  
       113           90.0          116.4          26.73          114.7          183.3          26.27         104.5          211.5          22.23           96.3          222.1         21.19           89.6          217.6          20.53  
       114           68.0          217.7          23.40           63.4          217.2          22.83          62.0          174.3          20.77           59.9          172.0         20.17           59.0          167.2          19.83  
       115            ...            ...           ...            18.4           31.3          25.66          15.7           33.2          21.43           15.6           35.1         20.64           15.4           34.2          20.21  
       116           33.1           15.6          28.55           29.5           42.9          26.45          29.3           62.5          21.75           30.2           65.6         21.10           30.9           65.2          20.77  
       117           37.5           45.4          26.90           41.8           81.7          25.67          42.0           95.7          21.26           39.8           99.7         20.35           39.0           99.6          19.87  
       118           31.3           85.9          23.93           30.1           85.9          23.66          26.4           52.0          22.01           24.7           47.1         21.59           24.7           43.5          21.38  
       119           37.9           47.9          26.47           54.5          105.8          25.65          51.9          119.4          21.46           49.3          122.5         20.70           48.5          118.5          20.28  
       120           33.7           49.1          26.17           45.1           96.3          25.31          53.5          123.7          21.31           51.5          129.3         20.49           49.4          125.8          20.00  
       121           43.7           64.3          26.44           42.4           84.1          25.49          31.3           75.0          21.27           29.3           77.3         20.35           29.5           77.3          19.87  
       122           95.8          193.6          24.68           88.6          206.1          23.91         101.5          202.3          21.63           98.8          207.2         20.98           97.5          198.4          20.63  
       123           26.2           66.7          24.61           25.7           73.7          24.05          22.8           78.1          19.93           22.5           81.5         19.18           22.9           82.0          18.76  
       124           67.4          140.4          25.03           70.4          185.9          24.64          74.1          141.8          22.08           72.4          146.6         21.41           71.8          140.3          21.07  
       125            ...            ...           ...            25.8           41.9          25.98          23.4           71.5          20.80           23.1           76.5         20.04           23.2           72.2          19.69  
       126            ...            ...           ...            34.4           58.9          26.09          36.8           88.0          21.19           36.6           91.9         20.49           37.5           91.6          20.08  
       127           33.8           54.5          26.34           31.7           67.7          25.41          23.3           65.3          20.94           21.1           68.0         19.92           20.3           66.4          19.39  
       128           23.7           49.4          25.12           24.8           57.2          24.75          30.5           53.8          22.42           30.0           55.1         21.79           29.6           52.6          21.46  
       129            ...            ...           ...            25.4           62.8          24.75          21.2           85.6          19.60           22.8           91.9         19.08           23.3           91.3          18.67  
       130           17.0           52.3          23.43           20.0           72.5          23.19          30.7           62.9          21.72           31.7           64.2         21.34           32.6           60.6          21.17  
       131           18.4           34.1          25.28           19.0           38.4          24.81          23.4           37.9          22.54           24.6           39.5         22.04           25.3           38.6          21.77  
       132            9.6           35.7          22.32           10.1           47.9          22.12          12.3           34.6          20.79           13.7           35.4         20.63           15.5           33.6          20.63  
       133           40.0           95.6          24.81           38.2          102.8          24.23          40.0           78.5          21.94           41.0           78.9         21.48           41.8           73.6          21.25  
       134           38.0           39.1          27.59           46.3           75.0          26.32          47.1           92.1          21.97           44.3           97.9         21.10           43.1           94.4          20.62  
       135           52.2           50.5          26.35           77.2          117.7          26.03          72.2          201.3          20.95           78.5          229.3         20.28           87.7          229.1          20.01  
       136           25.2           12.3          28.32           23.3           35.4          26.47          21.9           50.4          21.34           20.6           54.4         20.39           20.0           52.9          19.88  
       137           38.5           35.1          26.99           47.1           78.6          25.93          42.9          133.2          20.62           41.5          141.2         19.75           43.0          141.2          19.36  
       138           56.0           52.1          26.63           94.7          110.8          26.35          68.7          227.4          20.70           65.8          254.0         19.82           63.6          243.9          19.32  
       139           19.8           57.9          23.47           20.0           60.8          23.20          22.2           46.3          21.71           22.8           47.2         21.35           23.3           44.8          21.22  
       140           72.8          107.1          26.96           67.3          108.4          26.36          31.1          100.0          21.08           28.6          101.0         20.22           26.4           96.1          19.69  
       141           51.9           86.6          25.76           48.8           96.7          25.00          53.9          107.3          21.95           52.7          113.1         21.19           52.0          110.3          20.78  
       142            8.9          101.2          20.63            9.7          100.0          20.55          15.1           65.2          19.63           16.7           67.0         19.34           17.2           61.5          19.18  
       143           51.8           97.4          25.15           50.8          107.3          24.64          46.0           84.5          21.97           43.5           85.5         21.23           41.6           81.2          20.82  
       144           34.7          137.3          23.43           46.4          191.9          23.36          66.3          183.1          21.00           61.0          182.8         20.19           60.0          174.2          19.79  
       145           27.8           67.8          24.19           26.3           63.7          23.82          25.9           52.8          21.72           26.9           53.0         21.32           26.6           50.2          21.09  
       146           28.8           54.4          25.29           31.0           68.8          24.82          35.4           68.0          22.09           34.1           69.0         21.41           34.2           67.0          21.08  
       147            ...            ...           ...            46.3           82.1          26.14          40.2           77.5          22.19           37.9           79.4         21.31           37.1           78.9          20.79  
       148           53.0          121.2          24.29           53.1          143.3          23.98          54.4          104.7          22.09           55.1          105.1         21.62           56.6           98.8          21.41  
       149           50.9           82.7          25.91           57.1          116.2          25.30          61.9          123.7          21.84           57.1          127.3         20.94           54.6          122.4          20.43  
       150          143.8           75.2          27.95          125.6          185.6          26.47         157.1          371.0          21.69          156.5          405.9         20.90          138.4          382.3          20.27  
       151           21.8           51.4          24.15           22.6           63.2          23.70          32.3           70.4          21.61           33.2           73.9         21.05           34.7           71.1          20.78  
       152           20.4           44.9          23.77           19.9           51.3          23.31          21.0           49.0          21.18           20.8           49.4         20.68           21.1           47.4          20.45  
       153           22.7           50.3          24.27           22.3           54.9          23.77          23.4           50.1          21.62           23.8           51.7         21.11           24.2           49.9          20.85  
       154           44.2           88.1          25.20           43.7           92.4          24.86          43.0           75.1          22.85           42.9           72.6         22.39           42.9           64.6          22.12  
       155           23.7           31.4          26.14           30.7           73.1          25.01          23.3           99.3          19.53           23.5          108.2         18.75           24.8          106.1          18.44  
       156           34.1           54.3          25.81           34.5           86.3          24.48          32.4           98.7          20.13           31.9          103.0         19.36           32.0          101.8          18.95  
       157           24.4           75.4          22.99           24.4           82.5          22.57          22.8           60.9          20.49           22.4           60.3         20.02           22.4           58.4          19.77  
       158           33.6           93.9          23.78           35.7          110.2          23.50          36.9           81.3          21.59           37.8           80.9         21.22           38.3           77.8          21.02  
       159           12.0           51.9          22.99           26.2           98.9          23.62          48.0          109.9          21.51           46.5          110.1         20.91           50.1          110.0          20.66  
       160           31.5           73.0          24.57           30.3           74.3          24.10          34.4           73.1          21.90           34.2           74.5         21.35           34.8           72.3          21.09  
       161            ...            ...           ...            52.8           99.4          25.30          62.5          186.6          20.65           62.2          203.1         19.86           61.5          196.2          19.43  
       162           21.5           23.6          26.51           28.1           69.6          25.06          22.6          101.0          19.75           24.5          107.9         19.22           25.6          106.2          18.94  
       163          131.6          164.8          26.94          129.3          223.8          26.13          78.0          260.3          21.13           69.5          270.0         20.18           65.1          258.0          19.60  
       164           20.8           13.6          27.41           20.9           41.0          25.78          17.5           56.0          20.48           17.9           58.1         19.82           18.7           57.5          19.53  
       165           16.6           43.9          24.25           15.7           49.3          23.63          18.8           40.0          21.54           19.1           41.4         21.03           19.2           39.3          20.80  
       166           32.8           47.1          25.95           35.6           92.4          24.85          32.4          129.6          19.65           35.0          136.0         19.14           36.2          132.4          18.83  
       167           28.0           51.1          25.36           30.8           70.6          24.76          34.2           75.4          21.35           33.2           78.5         20.54           33.7           80.6          20.12  
       168           18.8           68.5          23.39           17.9           72.0          23.02          15.9           37.8          21.21           14.9           35.5         20.79           14.8           33.3          20.60  
       169           20.9           45.1          24.16           21.1           52.6          23.83          23.2           47.5          21.88           24.1           49.9         21.43           23.9           47.1          21.21  
       170            ...            ...           ...            66.1          129.6          25.55          59.4          167.7          20.93           56.8          178.5         20.09           56.2          173.5          19.67  
       171           11.4           33.2          23.25           11.6           49.6          22.53          15.4           48.7          20.44           16.0           49.7         19.95           16.7           49.2          19.70  
       172           17.1           29.8          25.15           22.2           64.6          24.28          33.0           77.1          21.34           31.9           80.4         20.58           32.2           77.9          20.21  
       173           20.2           44.8          24.33           23.5           77.2          23.71          26.5          101.3          20.12           24.6          109.1         19.25           25.2          103.7          18.92  
       174           14.9           28.1          24.94           22.6           68.0          24.46          31.4          123.3          20.11           30.3          135.5         19.21           32.3          139.5          18.86  
       175           21.3           31.8          25.89           31.4           71.4          25.23          26.9           99.4          19.91           26.4          107.2         19.07           27.6          107.4          18.71  
       176           52.4           57.1          27.31           53.9           96.9          25.94          52.1          126.1          20.98           49.9          133.8         20.11           49.3          132.3          19.65  
       177           15.1           69.2          22.50           15.2           61.6          22.16          17.6           45.5          20.53           17.8           45.9         20.13           18.6           45.2          19.95  
       178            ...            ...           ...           124.8          182.6          26.02          97.3          338.7          20.57          104.7          387.4         19.87          100.6          376.7          19.34  
       179           32.1           39.2          26.33           40.7           86.5          25.28          35.6          140.8          19.89           33.5          152.6         18.99           33.7          148.8          18.58  
       180           30.9           32.4          26.82           30.9           62.7          25.58          35.7          106.8          20.68           37.0          116.3         19.99           37.0          113.3          19.57  
       181           13.2           24.5          25.69           14.6           42.4          24.23          13.6           54.9          19.39           14.7           59.2         18.88           14.8           57.6          18.49  
       182           35.8           68.7          24.49           35.1           74.1          24.00          30.4           63.0          21.48           28.3           62.4         20.82           27.9           61.4          20.46  
       183           56.2          114.9          24.98           76.1          182.0          24.87          83.4          282.7          20.56           81.3          310.8         19.70           79.5          299.8          19.22  
       184            6.0           21.2          23.03           11.4           48.7          23.35          24.1           58.4          21.22           24.6           62.2         20.59           25.0           60.4          20.26  
       185           25.1           47.9          25.77           22.6           52.0          24.98          37.6           74.3          22.01           35.5           80.9         21.16           35.5           79.8          20.74  
       186            ...            ...           ...             ...            ...           ...           39.6          137.7          20.24           41.9          150.6         19.58           39.7          144.0          19.08  
       187           57.1          152.6          24.49           50.9          140.9          24.08          49.3          100.8          22.19           46.8           96.2         21.68           47.3           90.7          21.47  
       188           39.6           92.4          24.30           39.5          100.0          23.85          39.6           85.8          21.70           38.7           84.7         21.19           39.0           82.4          20.92  
       189           17.4           56.3          23.62           17.5           60.9          23.19          27.3           51.4          21.84           26.8           52.4         21.38           27.6           48.4          21.22  
       190          108.1          212.3          25.21           93.4          209.7          24.25          81.5          203.5          20.77           73.1          206.1         19.81           71.0          205.4          19.29  
       191           17.0           41.2          24.18           17.0           45.0          23.80          16.0           34.2          21.70           15.5           33.2         21.22           15.9           31.9          21.01  
       192            8.6           17.4          24.76           15.1           37.8          24.81          23.9           50.7          21.87           23.2           53.0         21.17           23.6           49.7          20.85  
       193           28.0           87.3          23.74           25.4           80.4          23.33          30.0           64.0          21.89           30.8           64.5         21.55           32.4           59.3          21.40  
       194          153.4          262.7          25.55          156.2          318.1          24.97         152.8          297.5          21.96          147.0          309.0         21.20          144.2          302.9          20.72  
       195            ...            ...           ...            22.6           40.4          25.96          27.3           59.0          21.52           26.9           62.4         20.76           27.6           61.6          20.41  
       196           48.5          120.4          24.16           47.2          113.9          23.79          41.4           84.0          21.77           39.6           81.6         21.32           37.5           78.3          21.03  
       197           50.7          129.4          24.56           53.5          143.7          24.23          52.8          108.7          21.83           50.0          106.5         21.24           48.7          101.5          20.87  
       198           33.5           67.4          24.64           32.1           74.4          24.20          33.0           69.4          21.81           33.2           70.5         21.32           34.0           67.8          21.06  
       199           15.5           41.5          23.85           15.7           51.3          23.47          28.2           50.8          22.25           29.3           52.3         21.79           29.7           50.1          21.56  
       200           45.7           72.8          25.91           56.5          152.4          24.80          61.4          238.1          19.92           58.3          252.6         19.04           59.1          251.1          18.63  
       201          107.7          172.7          26.05           96.5          179.7          25.36          78.9          187.0          21.25           70.9          191.7         20.24           64.9          185.1          19.60  
       202           12.9            ...          28.85           12.9           16.0          27.03          11.8           24.3          22.00           11.6           26.2         21.26           12.0           26.3          20.91  
       203           38.1          126.7          22.84           36.8          128.2          22.33          32.9           88.6          20.60           32.6           89.7         20.24           32.8           84.0          20.10  
       204          126.3          231.3          25.17          118.4          260.6          24.62         109.2          202.7          22.11          104.6          203.1         21.46          104.0          195.4          21.09  
       205          133.2          245.3          25.13          127.0          260.6          24.63         104.4          225.1          21.79           94.3          223.4         21.00           89.5          215.5          20.56  
       206           13.5           30.1          23.95           14.6           41.8          23.56          21.2           45.3          21.73           22.3           49.1         21.19           22.5           46.0          20.93  
       207           22.6           53.3          24.56           22.5           64.2          23.82          28.8           69.4          21.40           29.0           71.6         20.80           28.8           67.5          20.49  
       208           92.9          145.6          26.45           89.3          153.1          25.73          75.6          163.3          21.73           73.6          171.4         20.92           73.9          170.8          20.48  
       209           30.4           41.0          26.35           36.4           96.0          24.94           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       210           19.5           35.3          25.42           26.6           67.5          24.68          20.0           73.4          19.61           20.2           76.1         18.96           20.3           76.1          18.56  
       211           20.0           41.4          24.44           37.3           82.0          24.96          51.8          167.9          20.72           53.0          188.0         20.01           52.8          177.4          19.61  
       212           22.8           81.6          23.20           22.4           67.2          22.90          22.2           49.4          21.33           24.1           49.9         21.13           25.5           48.0          21.03  
       213          269.2          420.3          26.41          248.9          443.9          25.69         146.7          359.2          21.06          131.5          369.5         20.01          121.7          355.5          19.38  
       214           11.8           28.8          24.36           23.4           63.7          24.61          24.8           96.8          19.91           25.7          103.6         19.24           26.5          102.3          18.88  
       215           33.9           66.7          24.75           31.9           91.4          23.79          35.5          102.3          21.18           35.2          106.8         20.53           35.2           99.8          20.22  
       216           63.7          118.5          25.63           59.1          147.3          24.56          57.1          149.2          21.21           51.6          151.7         20.26           50.2          148.1          19.80  
       217           99.1          179.6          25.86          105.5          277.2          24.75         116.4          276.9          21.36          106.0          274.2         20.56          100.8          265.1          20.07  
       218           24.4           47.7          25.42           35.3           94.2          24.73          26.7          115.2          19.21           26.3          124.0         18.38           26.3          121.3          17.97  
